time[s],m_in
354,2.87002616147588e-06
355,2.87800124599311e-06
356,2.88597559313419e-06
357,2.89394920296743e-06
358,2.90192207556111e-06
359,2.90989421098341e-06
360,2.91786560930261e-06
361,2.92583627058694e-06
362,2.93380619490461e-06
363,2.94177538232387e-06
364,2.94974383291294e-06
365,2.95771154674001e-06
366,2.96567852387329e-06
367,2.97364476438097e-06
368,2.98161026833126e-06
369,2.98957503579233e-06
370,2.99753906683236e-06
371,3.00550236151954e-06
372,3.01346491992202e-06
373,3.02142674210796e-06
374,3.02938782814552e-06
375,3.03734817810281e-06
376,3.04530779204803e-06
377,3.05326667004926e-06
378,3.06122481217469e-06
379,3.06918221849238e-06
380,3.07713888907049e-06
381,3.08509482397711e-06
382,3.09305002328033e-06
383,3.10100448704827e-06
384,3.10895821534902e-06
385,3.11691120825064e-06
386,3.12486346582122e-06
387,3.13281498812884e-06
388,3.14076577524155e-06
389,3.14871582722744e-06
390,3.15666514415455e-06
391,3.16461372609089e-06
392,3.17256157310452e-06
393,3.18050868526349e-06
394,3.18845506263582e-06
395,3.19640070528951e-06
396,3.20434561329263e-06
397,3.21228978671312e-06
398,3.22023322561905e-06
399,3.22817593007834e-06
400,3.23611790015903e-06
401,3.24405913592909e-06
402,3.25199963745649e-06
403,3.25993940480923e-06
404,3.26787843805525e-06
405,3.2758167372625e-06
406,3.28375430249895e-06
407,3.29169113383254e-06
408,3.29962723133119e-06
409,3.30756259506286e-06
410,3.31549722509548e-06
411,3.32343112149696e-06
412,3.33136428433517e-06
413,3.33929671367811e-06
414,3.34722840959361e-06
415,3.35515937214958e-06
416,3.3630896014139e-06
417,3.3710190974545e-06
418,3.3789478603392e-06
419,3.38687589013591e-06
420,3.39480318691248e-06
421,3.40272975073674e-06
422,3.41065558167658e-06
423,3.41858067979983e-06
424,3.42650504517433e-06
425,3.43442867786789e-06
426,3.44235157794838e-06
427,3.45027374548359e-06
428,3.45819518054132e-06
429,3.46611588318943e-06
430,3.47403585349568e-06
431,3.48195509152787e-06
432,3.48987359735379e-06
433,3.49779137104121e-06
434,3.50570841265794e-06
435,3.51362472227172e-06
436,3.52154029995034e-06
437,3.5294551457615e-06
438,3.53736925977303e-06
439,3.54528264205258e-06
440,3.55319529266799e-06
441,3.56110721168693e-06
442,3.56901839917713e-06
443,3.57692885520634e-06
444,3.58483857984221e-06
445,3.59274757315252e-06
446,3.60065583520493e-06
447,3.60856336606714e-06
448,3.61647016580688e-06
449,3.62437623449174e-06
450,3.63228157218947e-06
451,3.64018617896772e-06
452,3.64809005489415e-06
453,3.6559932000364e-06
454,3.66389561446214e-06
455,3.67179729823904e-06
456,3.6796982514347e-06
457,3.68759847411675e-06
458,3.69549796635283e-06
459,3.70339672821052e-06
460,3.71129475975752e-06
461,3.71919206106138e-06
462,3.72708863218967e-06
463,3.73498447321004e-06
464,3.74287958419006e-06
465,3.7507739651973e-06
466,3.75866761629935e-06
467,3.76656053756376e-06
468,3.77445272905812e-06
469,3.78234419084999e-06
470,3.79023492300687e-06
471,3.79812492559634e-06
472,3.80601419868595e-06
473,3.81390274234319e-06
474,3.82179055663562e-06
475,3.82967764163076e-06
476,3.8375639973961e-06
477,3.84544962399918e-06
478,3.85333452150744e-06
479,3.86121868998843e-06
480,3.86910212950964e-06
481,3.87698484013852e-06
482,3.88486682194256e-06
483,3.89274807498921e-06
484,3.90062859934596e-06
485,3.90850839508025e-06
486,3.91638746225955e-06
487,3.92426580095129e-06
488,3.93214341122289e-06
489,3.94002029314181e-06
490,3.94789644677546e-06
491,3.95577187219125e-06
492,3.96364656945664e-06
493,3.97152053863895e-06
494,3.97939377980569e-06
495,3.98726629302417e-06
496,3.9951380783618e-06
497,4.00300913588595e-06
498,4.01087946566405e-06
499,4.01874906776342e-06
500,4.02661794225141e-06
501,4.03448608919542e-06
502,4.04235350866277e-06
503,4.05022020072082e-06
504,4.05808616543693e-06
505,4.06595140287836e-06
506,4.07381591311249e-06
507,4.08167969620664e-06
508,4.0895427522281e-06
509,4.09740508124422e-06
510,4.10526668332224e-06
511,4.11312755852947e-06
512,4.12098770693325e-06
513,4.12884712860079e-06
514,4.13670582359942e-06
515,4.14456379199637e-06
516,4.15242103385895e-06
517,4.16027754925436e-06
518,4.16813333824989e-06
519,4.17598840091277e-06
520,4.18384273731026e-06
521,4.19169634750953e-06
522,4.19954923157788e-06
523,4.2074013895825e-06
524,4.2152528215906e-06
525,4.22310352766938e-06
526,4.23095350788608e-06
527,4.23880276230784e-06
528,4.24665129100188e-06
529,4.25449909403536e-06
530,4.26234617147549e-06
531,4.27019252338941e-06
532,4.27803814984427e-06
533,4.28588305090732e-06
534,4.29372722664559e-06
535,4.30157067712631e-06
536,4.30941340241655e-06
537,4.31725540258352e-06
538,4.32509667769426e-06
539,4.33293722781597e-06
540,4.34077705301573e-06
541,4.34861615336064e-06
542,4.35645452891781e-06
543,4.36429217975433e-06
544,4.37212910593727e-06
545,4.37996530753379e-06
546,4.38780078461086e-06
547,4.39563553723562e-06
548,4.40346956547515e-06
549,4.41130286939643e-06
550,4.41913544906658e-06
551,4.42696730455263e-06
552,4.43479843592158e-06
553,4.4426288432405e-06
554,4.45045852657643e-06
555,4.45828748599636e-06
556,4.4661157215673e-06
557,4.47394323335632e-06
558,4.48177002143034e-06
559,4.48959608585642e-06
